anio,mes,lpei,lpi,desagregacion
1997,Dic,441.22,1146.27,Urbano
1998,Ene,336.11,728.83,Rural
1998,Ene,453.63,1170.5,Urbano
1998,Feb,346.43,745.04,Rural
1998,Feb,466.28,1193.35,Urbano
1998,Mar,352.23,755.3,Rural
1998,Mar,473.37,1208.62,Urbano
1998,Abr,354.17,761.13,Rural
1998,Abr,476.81,1218.44,Urbano
1998,May,354.72,762.91,Rural
1998,May,478.14,1220.98,Urbano
1998,Jun,356.45,768.35,Rural
1998,Jun,479.53,1228.13,Urbano
1998,Jul,360.84,776.12,Rural
1998,Jul,484.2,1237.6,Urbano
1998,Ago,364.79,784.98,Rural
1998,Ago,489.6,1250.32,Urbano
1998,Sep,369.94,798.31,Rural
1998,Sep,496.64,1270.66,Urbano
1998,Oct,376.16,809.87,Rural
1998,Oct,503.92,1285.74,Urbano
1998,Nov,381.99,826.41,Rural
1998,Nov,510.87,1310.09,Urbano
1998,Dic,396.8,854.01,Rural
1998,Dic,527.32,1342.74,Urbano
1999,Ene,412.34,877.97,Rural
1999,Ene,544.33,1369.91,Urbano
1999,Feb,412.26,885.77,Rural
1999,Feb,547.49,1383.31,Urbano
1999,Mar,407.7,888.66,Rural
1999,Mar,544.55,1398.39,Urbano
1999,Abr,407.03,893.54,Rural
1999,Abr,545.34,1410.41,Urbano
1999,May,408.34,896.96,Rural
1999,May,548.09,1413.2,Urbano
1999,Jun,408.95,901.86,Rural
1999,Jun,549.78,1420.47,Urbano
1999,Jul,410.42,906.63,Rural
1999,Jul,552.27,1432.76,Urbano
1999,Ago,411.34,911.91,Rural
1999,Ago,554.97,1441.45,Urbano
1999,Sep,412.04,920.31,Rural
1999,Sep,556.51,1455.94,Urbano
1999,Oct,413.34,926.36,Rural
1999,Oct,558.97,1465.27,Urbano
1999,Nov,415.6,936.94,Rural
1999,Nov,562.05,1482.08,Urbano
1999,Dic,424.08,949.13,Rural
1999,Dic,573.11,1498.58,Urbano
2000,Ene,430.47,961.62,Rural
2000,Ene,581.24,1514.5,Urbano
2000,Feb,430,967.11,Rural
2000,Feb,581.99,1522.96,Urbano
2000,Mar,429.12,969.98,Rural
2000,Mar,581.2,1527.37,Urbano
2000,Abr,429.67,972.21,Rural
2000,Abr,581.46,1529.81,Urbano
2000,May,433.81,975.35,Rural
2000,May,586.33,1531.6,Urbano
2000,Jun,439.96,983.05,Rural
2000,Jun,593.88,1542.15,Urbano
2000,Jul,444.03,989.32,Rural
2000,Jul,599.66,1551.4,Urbano
2000,Ago,445.59,994.39,Rural
2000,Ago,602.46,1559.89,Urbano
2000,Sep,444.76,999.28,Rural
2000,Sep,602.09,1567.51,Urbano
