anio,mes,lpei,lpi,desagregacion
2020,Jun,1279.09,2481.77,Rural
2020,Jun,1679.08,3504.34,Urbano
2020,Jul,1287.59,2503.19,Rural
2020,Jul,1688.57,3536.85,Urbano
2020,Ago,1299.3,2520.16,Rural
2020,Ago,1702.28,3559.88,Urbano
2020,Sep,1308.91,2534.21,Rural
2020,Sep,1713.31,3577.67,Urbano
2020,Oct,1319.6,2554.23,Rural
2020,Oct,1724.37,3606.3,Urbano
2020,Nov,1315.69,2555.51,Rural
2020,Nov,1721,3610.96,Urbano
2020,Dic,1306.48,2555.74,Rural
2020,Dic,1713.89,3619.27,Urbano
2021,Ene,1313.46,2574.92,Rural
2021,Ene,1725.66,3660.64,Urbano
2021,Feb,1313.69,2585.71,Rural
2021,Feb,1728.88,3686.9,Urbano
2021,Mar,1326.23,2606.06,Rural
2021,Mar,1741.89,3717.18,Urbano
2021,Abr,1344.23,2617.71,Rural
2021,Abr,1759.59,3722.42,Urbano
2021,May,1360.83,2622.13,Rural
2021,May,1778.98,3717.71,Urbano
2021,Jun,1370.74,2636.95,Rural
2021,Jun,1793.4,3740.41,Urbano
2021,Jul,1383.84,2653.87,Rural
2021,Jul,1810.09,3767.25,Urbano
2021,Ago,1399.36,2673.6,Rural
2021,Ago,1828.54,3775.94,Urbano
2021,Sep,1417.04,2698.75,Rural
2021,Sep,1847.27,3808.81,Urbano
2021,Oct,1418.86,2715.42,Rural
2021,Oct,1850.69,3843.24,Urbano
2021,Nov,1447.57,2761.81,Rural
2021,Nov,1879.04,3898.53,Urbano
2021,Dic,1463.43,2784.7,Rural
2021,Dic,1901.66,3916.83,Urbano
2022,Ene,1481.1,2812.34,Rural
2022,Ene,1930.38,3958,Urbano
2022,Feb,1496.32,2837.57,Rural
2022,Feb,1950.26,3997.24,Urbano
2022,Mar,1517.96,2870.28,Rural
2022,Mar,1974.57,4042.73,Urbano
2022,Abr,1522.44,2874.15,Rural
2022,Abr,1978.54,4041.25,Urbano
2022,May,1523.9,2866.12,Rural
2022,May,1982.45,4024.62,Urbano
2022,Jun,1544.88,2898.16,Rural
2022,Jun,2011.99,4065.11,Urbano
2022,Jul,1566.95,2928.47,Rural
2022,Jul,2042.89,4105.11,Urbano
2022,Ago,1600.18,2970.76,Rural
2022,Ago,2086.21,4158.35,Urbano
2022,Sep,1625.57,3006.97,Rural
2022,Sep,2114.03,4194.32,Urbano
2022,Oct,1624.24,3022.77,Rural
2022,Oct,2112.1,4208.93,Urbano
2022,Nov,1620.78,3037.42,Rural
2022,Nov,2110.39,4233.41,Urbano
2022,Dic,1630.95,3051.8,Rural
2022,Dic,2124.7,4246.06,Urbano
2023,Ene,1644.23,3074.51,Rural
2023,Ene,2143.72,4275.97,Urbano
2023,Feb,1652.42,3089.37,Rural
2023,Feb,2154.8,4299.19,Urbano
