,iso3,country,year,le_f,country_sp,fem_pop,mmr,gpi,femicides_number
332,BHS,Bahamas,2018,77.3203,Bahamas,209250.0,70.0,,
333,BLZ,Belize,2018,77.0211,Belice,189707.0,36.0,,
334,BOL,Bolivia (Plurinational State of),2018,70.3834,Bolivia,5774185.0,155.0,1.986,130.0
335,BRA,Brazil,2018,78.2655,Brasil,106812144.0,60.0,2.16,1867.0
336,BRB,Barbados,2018,78.9579,Barbados,145752.0,27.0,,
337,CHL,Chile,2018,82.5267,Chile,9420150.0,13.0,1.628,
338,COL,Colombia,2018,79.6597,Colombia,24945907.0,83.0,2.661,228.0
339,CRI,Costa Rica,2018,82.0831,Costa Rica,2515262.0,27.0,1.74,23.0
340,CUB,Cuba,2018,80.0507,Cuba,5691084.0,36.0,1.991,
341,DMA,Dominica,2018,77.2471,Dominica,35370.0,,,
342,DOM,Dominican Republic,2018,76.4995,República Dominicana,5348537.0,95.0,2.045,165.0
343,ECU,Ecuador,2018,79.6038,Ecuador,8506021.0,59.0,1.907,68.0
344,GRD,Grenada,2018,77.7959,Granada,60748.0,25.0,,
345,GTM,Guatemala,2018,75.5708,Guatemala,8250539.0,95.0,2.114,155.0
346,GUY,Guyana,2018,72.4388,Guyana,399474.0,169.0,2.035,
347,HND,Honduras,2018,75.318,Honduras,4844019.0,65.0,2.157,218.0
348,HTI,Haiti,2018,66.9187,Haití,5548683.0,480.0,1.975,
349,JAM,Jamaica,2018,73.9027,Jamaica,1415821.0,80.0,1.958,
350,KNA,Saint Kitts and Nevis,2018,75.0846,Saint Kitts y Nevis,24545.0,,,
351,LCA,Saint Lucia,2018,76.9681,Santa Lucía,89573.0,117.0,,
352,MEX,Mexico,2018,77.2856,México,63328698.0,33.0,2.426,893.0
353,NIC,Nicaragua,2018,76.6806,Nicaragua,3333171.0,98.0,1.892,
354,PAN,Panama,2018,81.0243,Panamá,2080041.0,52.0,1.828,19.0
355,PER,Peru,2018,78.2926,Perú,16242003.0,88.0,1.925,150.0
356,PRY,Paraguay,2018,76.3419,Paraguay,3205602.0,84.0,2.021,59.0
357,SLV,El Salvador,2018,77.4882,El Salvador,3284064.0,46.0,2.24,232.0
358,SUR,Suriname,2018,75.9369,Suriname,297374.0,120.0,,
359,TTO,Trinidad and Tobago,2018,77.3525,Trinidad y Tobago,761204.0,67.0,2.019,24.0
360,URY,Uruguay,2018,81.2826,Uruguay,1769223.0,17.0,1.729,30.0
361,VCT,Saint Vincent and the Grenadines,2018,76.8627,San Vicente y las Granadinas,51425.0,68.0,,
362,VEN,Venezuela (Bolivarian Republic of),2018,76.4306,Venezuela,15021517.0,125.0,2.719,
363,ARG,Argentina,2019,80.6807,Argentina,22689693.0,39.0,1.984,255.0
364,ATG,Antigua and Barbuda,2019,81.1709,Antigua y Barbuda,48156.0,42.0,,
365,BHS,Bahamas,2019,73.83,Bahamas,210821.0,70.0,,
366,BLZ,Belize,2019,77.2467,Belice,193151.0,36.0,,
367,BOL,Bolivia (Plurinational State of),2019,70.4753,Bolivia,5860919.0,155.0,1.977,117.0
368,BRA,Brazil,2019,78.4695,Brasil,107663080.0,60.0,2.449,2048.0
369,BRB,Barbados,2019,79.1234,Barbados,145957.0,27.0,,
370,CHL,Chile,2019,82.7112,Chile,9589082.0,13.0,1.654,
371,COL,Colombia,2019,79.721,Colombia,25408106.0,83.0,2.672,177.0
372,CRI,Costa Rica,2019,81.9525,Costa Rica,2538156.0,27.0,1.735,17.0
373,CUB,Cuba,2019,80.0747,Cuba,5688414.0,36.0,2.018,
374,DMA,Dominica,2019,77.2054,Dominica,35755.0,,,
375,DOM,Dominican Republic,2019,76.9649,República Dominicana,5409472.0,95.0,2.023,152.0
376,ECU,Ecuador,2019,79.953,Ecuador,8670974.0,59.0,1.943,70.0
377,GRD,Grenada,2019,77.8338,Granada,61240.0,25.0,,
378,GTM,Guatemala,2019,75.8119,Guatemala,8380231.0,95.0,2.193,146.0
379,GUY,Guyana,2019,72.6584,Guyana,405932.0,169.0,2.083,
380,HND,Honduras,2019,75.3704,Honduras,4927035.0,65.0,2.221,295.0
381,HTI,Haiti,2019,67.3292,Haití,5625310.0,480.0,2.047,
382,JAM,Jamaica,2019,73.8735,Jamaica,1417116.0,80.0,1.943,
383,KNA,Saint Kitts and Nevis,2019,75.195,Saint Kitts y Nevis,24562.0,,,
384,LCA,Saint Lucia,2019,77.058,Santa Lucía,90001.0,117.0,,
385,MEX,Mexico,2019,77.5736,México,63898082.0,33.0,2.46,945.0
386,NIC,Nicaragua,2019,77.0005,Nicaragua,3379591.0,98.0,2.261,
387,PAN,Panama,2019,80.9536,Panamá,2114030.0,52.0,1.815,19.0
388,PER,Peru,2019,78.4966,Perú,16556679.0,88.0,1.939,148.0
389,PRY,Paraguay,2019,76.441,Paraguay,3249592.0,84.0,2.096,37.0
390,SLV,El Salvador,2019,76.7759,El Salvador,3287678.0,46.0,2.222,113.0
391,SUR,Suriname,2019,75.6803,Suriname,300864.0,120.0,,
392,TTO,Trinidad and Tobago,2019,77.6973,Trinidad y Tobago,768058.0,67.0,2.045,20.0
393,URY,Uruguay,2019,81.2959,Uruguay,1769262.0,17.0,1.679,25.0
394,VCT,Saint Vincent and the Grenadines,2019,75.5799,San Vicente y las Granadinas,51288.0,68.0,,
395,VEN,Venezuela (Bolivarian Republic of),2019,76.5658,Venezuela,14605811.0,125.0,2.734,
396,ARG,Argentina,2020,79.2846,Argentina,22911069.0,39.0,1.948,251.0
397,ATG,Antigua and Barbuda,2020,81.3155,Antigua y Barbuda,48428.0,42.0,,
398,BHS,Bahamas,2020,76.2696,Bahamas,211965.0,70.0,,
399,BLZ,Belize,2020,76.6257,Belice,196111.0,36.0,,
400,BOL,Bolivia (Plurinational State of),2020,67.8408,Bolivia,5943886.0,155.0,2.037,113.0
401,BRA,Brazil,2020,77.3747,Brasil,108417015.0,60.0,2.446,1596.0
402,BRB,Barbados,2020,79.2095,Barbados,146165.0,27.0,,
403,CHL,Chile,2020,82.0406,Chile,9720358.0,13.0,1.815,43.0
404,COL,Colombia,2020,78.1362,Colombia,25791075.0,83.0,2.663,187.0
405,CRI,Costa Rica,2020,81.9122,Costa Rica,2558483.0,27.0,1.709,28.0
406,CUB,Cuba,2020,80.2255,Cuba,5683880.0,36.0,2.048,
407,DMA,Dominica,2020,77.2597,Dominica,36112.0,,,
408,DOM,Dominican Republic,2020,76.9139,República Dominicana,5472181.0,95.0,1.961,134.0
409,ECU,Ecuador,2020,76.0557,Ecuador,8798448.0,59.0,2.031,77.0
410,GRD,Grenada,2020,77.8688,Granada,61746.0,25.0,,
411,GTM,Guatemala,2020,75.545,Guatemala,8509834.0,95.0,2.155,118.0
412,GUY,Guyana,2020,72.118,Guyana,407303.0,169.0,2.065,
413,HND,Honduras,2020,73.9873,Honduras,5008783.0,65.0,2.206,227.0
414,HTI,Haiti,2020,67.1177,Haití,5701407.0,480.0,2.132,
415,JAM,Jamaica,2020,73.9185,Jamaica,1420767.0,80.0,1.972,
416,KNA,Saint Kitts and Nevis,2020,75.2665,Saint Kitts y Nevis,24570.0,,,
417,LCA,Saint Lucia,2020,77.055,Santa Lucía,90411.0,117.0,,
418,MEX,Mexico,2020,74.3136,México,64410851.0,33.0,2.565,948.0
419,NIC,Nicaragua,2020,75.012,Nicaragua,3426548.0,98.0,2.32,
420,PAN,Panama,2020,80.0343,Panamá,2145526.0,52.0,1.87,31.0
421,PER,Peru,2020,76.8162,Perú,16805323.0,88.0,1.993,137.0
422,PRY,Paraguay,2020,76.1558,Paraguay,3294711.0,84.0,2.005,36.0
423,SLV,El Salvador,2020,75.413,El Salvador,3295300.0,46.0,2.224,73.0
424,SUR,Suriname,2020,75.981,Suriname,304409.0,120.0,,
425,TTO,Trinidad and Tobago,2020,77.8806,Trinidad y Tobago,768972.0,67.0,2.016,22.0
426,URY,Uruguay,2020,81.911,Uruguay,1768921.0,17.0,1.688,19.0
427,VCT,Saint Vincent and the Grenadines,2020,74.9442,San Vicente y las Granadinas,51199.0,68.0,,
428,VEN,Venezuela (Bolivarian Republic of),2020,75.8142,Venezuela,14376694.0,125.0,2.701,
429,ARG,Argentina,2021,78.6471,Argentina,23130548.0,39.0,1.926,231.0
430,ATG,Antigua and Barbuda,2021,80.9411,Antigua y Barbuda,48709.0,42.0,,
431,BHS,Bahamas,2021,75.0957,Bahamas,212878.0,70.0,,
432,BLZ,Belize,2021,74.3322,Belice,198800.0,36.0,,7.0
433,BOL,Bolivia (Plurinational State of),2021,66.7999,Bolivia,6020925.0,155.0,2.018,108.0
434,BRA,Brazil,2021,76.0086,Brasil,109034931.0,60.0,2.403,1900.0
435,BRB,Barbados,2021,79.3594,Barbados,146366.0,27.0,,
436,CHL,Chile,2021,81.4368,Chile,9818163.0,13.0,1.787,44.0
437,COL,Colombia,2021,76.4421,Colombia,26101321.0,83.0,2.689,210.0
438,CRI,Costa Rica,2021,79.8106,Costa Rica,2575216.0,27.0,1.718,18.0
439,CUB,Cuba,2021,76.3585,Cuba,5667114.0,36.0,2.05,
440,DMA,Dominica,2021,76.3013,Dominica,36373.0,,,
441,DOM,Dominican Republic,2021,76.2914,República Dominicana,5535650.0,95.0,1.972,150.0
442,ECU,Ecuador,2021,77.4619,Ecuador,8910903.0,59.0,2.012,71.0
443,GRD,Grenada,2021,77.8979,Granada,62254.0,25.0,,
444,GTM,Guatemala,2021,72.6514,Guatemala,8639673.0,95.0,2.166,138.0
445,GUY,Guyana,2021,69.1042,Guyana,410932.0,169.0,2.119,
446,HND,Honduras,2021,72.5341,Honduras,5087643.0,65.0,2.308,234.0
447,HTI,Haiti,2021,66.1191,Haití,5774718.0,480.0,2.068,
448,JAM,Jamaica,2021,72.543,Jamaica,1424743.0,80.0,1.97,
449,KNA,Saint Kitts and Nevis,2021,75.3413,Saint Kitts y Nevis,24591.0,,,
450,LCA,Saint Lucia,2021,74.7166,Santa Lucía,90712.0,117.0,,
451,MEX,Mexico,2021,74.8637,México,64849001.0,33.0,2.625,1015.0
452,NIC,Nicaragua,2021,76.8026,Nicaragua,3474910.0,98.0,2.338,
453,PAN,Panama,2021,79.594,Panamá,2174744.0,52.0,1.883,22.0
454,PER,Peru,2021,74.7462,Perú,17020361.0,88.0,2.022,136.0
455,PRY,Paraguay,2021,73.3847,Paraguay,3338534.0,84.0,2.005,35.0
456,SLV,El Salvador,2021,75.1492,El Salvador,3307476.0,46.0,2.18,80.0
457,SUR,Suriname,2021,73.5513,Suriname,307598.0,120.0,,
458,TTO,Trinidad and Tobago,2021,76.4032,Trinidad y Tobago,772874.0,67.0,2.024,
459,URY,Uruguay,2021,79.2583,Uruguay,1766768.0,17.0,1.782,26.0
460,VCT,Saint Vincent and the Grenadines,2021,72.3958,San Vicente y las Granadinas,51123.0,68.0,,
461,VEN,Venezuela (Bolivarian Republic of),2021,75.2072,Venezuela,14243056.0,125.0,2.757,
