,iso3,country,year,le_f,country_sp,fem_pop,mmr,gpi,femicides_number
77,DMA,Dominica,2010,74.8889,Dominica,34038.0,,,2.0
78,DOM,Dominican Republic,2010,75.6597,República Dominicana,4831796.0,96.0,2.071,210.0
79,ECU,Ecuador,2010,78.4876,Ecuador,7490733.0,78.0,2.117,
80,GRD,Grenada,2010,77.6324,Granada,56477.0,29.0,,
81,GTM,Guatemala,2010,74.2903,Guatemala,7191268.0,129.0,2.108,
82,GUY,Guyana,2010,70.2369,Guyana,375947.0,179.0,2.108,
83,HND,Honduras,2010,73.2785,Honduras,4176200.0,74.0,2.277,
84,HTI,Haiti,2010,46.2514,Haití,4952137.0,506.0,2.063,
85,JAM,Jamaica,2010,74.6666,Jamaica,1378388.0,79.0,1.999,
86,KNA,Saint Kitts and Nevis,2010,74.4338,Saint Kitts y Nevis,24093.0,,,
87,LCA,Saint Lucia,2010,75.7071,Santa Lucía,85705.0,109.0,,2.0
88,MEX,Mexico,2010,77.1168,México,57445993.0,46.0,2.202,
89,NIC,Nicaragua,2010,75.1276,Nicaragua,2970655.0,112.0,1.828,
90,PAN,Panama,2010,79.7333,Panamá,1806799.0,79.0,1.867,
91,PER,Peru,2010,75.9302,Perú,14684090.0,104.0,2.016,139.0
92,PRY,Paraguay,2010,74.7663,Paraguay,2864220.0,108.0,1.959,27.0
93,SLV,El Salvador,2010,76.2132,El Salvador,3191359.0,54.0,2.121,
94,SUR,Suriname,2010,73.5869,Suriname,271788.0,148.0,,
95,TTO,Trinidad and Tobago,2010,76.1383,Trinidad y Tobago,714240.0,71.0,2.119,18.0
96,URY,Uruguay,2010,80.8967,Uruguay,1735600.0,17.0,1.664,35.0
97,VCT,Saint Vincent and the Grenadines,2010,77.55,San Vicente y las Granadinas,53341.0,63.0,,
98,VEN,Venezuela (Bolivarian Republic of),2010,77.1395,Venezuela,14393135.0,117.0,2.419,
99,ARG,Argentina,2011,79.3224,Argentina,20865767.0,48.0,1.879,
100,ATG,Antigua and Barbuda,2011,79.7063,Antigua y Barbuda,45588.0,43.0,,
101,BHS,Bahamas,2011,75.7623,Bahamas,195497.0,78.0,,
102,BLZ,Belize,2011,75.6775,Belice,164408.0,52.0,,
103,BOL,Bolivia (Plurinational State of),2011,69.0885,Bolivia,5159435.0,202.0,1.942,
104,BRA,Brazil,2011,76.6512,Brasil,100509285.0,61.0,2.005,
105,BRB,Barbados,2011,77.8687,Barbados,143988.0,35.0,,
